# examples.csv — Russian → Avar parallel corpus with Leipzig-style gloss.
# Phase 1: rows 1–25 translated as calibration sample; rows 26–300 pending (av and gloss empty).
# To parse: pandas.read_csv(..., comment='#')  or  csv.reader after stripping lines starting with '#'.
#
# Conventions (palochka = Ӏ U+04C0 everywhere):
#   Names (third declension per avar_grammar_book.md 899–952; direct attachment on prime stem,
#     epenthetic -и- for cons-final). Case order: NOM / ERG / GEN / DAT / SUPESS / ABL / COM.
#     Том   (I,  cons):  Том   / Томица   / Томил   / Томие   / Томида   / Томидаса   / Томгун
#     Джон  (I,  cons):  Джон  / Джоница  / Джонил  / Джоние  / Джонида  / Джонидаса  / Джонгун
#     Мэри  (II, vowel): Мэри  / Мэрица   / Мэрил   / Мэрие   / Мэрида   / Мэридаса   / Мэригун
#   Places:
#     Бостон   (attested): Бостон / Бостоналда / Бостоналде / Бостоналдаса
#     Австралия (vowel):   Австралия / Австралиялда / Австралиялде / Австралиялдаса
#
#   Noun classes:  I = в   II = й   III = б   PL = р/л   (default III for abstract 'это')
#   Class agreement on directionals/demonstratives follows the MOVER/antecedent class:
#     'where-to'  киве (I) / кие (II) / кибе (III, default) / кире (PL)
#     'there-to'  гьанив / гьаний / гьанибе / гьанире
#     'be-INF'    вукӀине / йукӀине / букӀине / рукӀине
#     'ине' (go) has NO class marker (notes.md §11); 'лъугьине' (become) likewise class-neutral.
#   Argument frames (verified against corpus; DO NOT overgeneralize):
#     SUPESS -да   : лъазе 'know', кӀвезе 'can', бажаризе 'be able', бичӀчӀизе 'understand',
#                    бихьизе 'see', гьикъизе 'ask' (addressee takes SUPESS).
#     DAT -е       : бокьизе 'want/love' (дие бокьула, NOT *дида бокьула), рокьизе 'love'.
#                    Volitional "want to V" is usually rendered as the compound perfect
#                    'V-INF X-е бокьун буго', not the simple 'X-е бокьула'. Embedded yes/no Q
#                    ("whether X wants") takes '-ищали' on the auxiliary: 'бокьун бугищали' or
#                    'бокьун бугебищали', NOT simple 'бокьулебали'.
#     ABS          : хӀинкъизе 'fear' (дун хӀинкъулев — intransitive, not experiencer);
#                    feared-of thing in ABL, or INF complement.
#   Light-verb "N + ккезе" (harm/trouble/benefit falls on someone): affectee takes DAT -е,
#     NOT SUPESS. Attested: зарал ккезе X-е 'harm befalls X', къварилъи ккезе X-е 'trouble for X'.
#   Light-verb "N + буго" (intention/hope/opportunity): possessor in GEN -л/-ул/-ир (дир ният буго).
#     When the intender is also subject of a matrix verb of saying, the GEN can be omitted
#     and the intender identified via apposition/ERG.
#   Quotative frame: "[CLAUSE]-ин/-илан абуна [AGENT-ERG]" with embedded clause verb in finite form.
#   Attributive "as.if" frame: "[CLAUSE] гӀадин буго" REQUIRES participle on clause's auxiliary,
#     so past-negative copula is букӀинчӀеб (III ptcp), NOT букӀинчӀо (finite). Contrast with the
#     quotative frame above, which does take the finite form.
#   Comparative "[X] гӀадин" takes the case of the matrix argument it parallels (NOT always ABS):
#     - Adverbial manner ("does X as Y does"): X matches the shared verb's subject/experiencer case,
#         e.g. 'Дуда гӀадин ... Томида кӀвелароан' (both SUPESS via кӀвезе).
#     - Attributive on head noun ("an X like Y"): Y is ABS, гӀадин takes class agreement with the
#         head noun, e.g. 'мун гӀадинав багьадур' (like-you.I hero.I).
#     - Attributive "as.if-clause": '[CLAUSE-PTCP] гӀадин буго' — clause-level, no NP case at all.
#   Irrealis conditional: protasis -арабани / -чӀебани, apodosis PRS/FUT + -аан (see notes.md §1.2).
#   "never" in NEG clause: киданиги + NEG verb (e.g. киданиги кӀвеларо / кӀоченаро); avoid calques.
#   "almost X" idiom: [subj-ABS] [X-INF] дагьалъ хутӀана (dict: 'чуть не упал' = 'ккезе дагьалъ хутӀана').
#     Subject of the embedded INF is ABS, not SUPESS, even if the verb normally takes SUPESS subj.
#   Temporal "N units ago": unit in ERG + цебе (анкьалъ цебе, къоялъ цебе); bare ABS is wrong.
#   бокьизе 'want/love': PRS.PTCP.III is бокьулеб (not бокьунеб, which is ungrammatical).
#
#   Gloss tags: ERG GEN DAT SUPESS SUPLAT SUPABL INTER IN LOC ALL ABL COM EQUAT FOC Q QUOT NMLZ
#               PRS PST FUT HAB IPFV PTCP.PRS PTCP.PST INF MSD IMP PROH OPT COND IRR NEG CAUS
#               CVB CVB.SIM CVB.NEG CVB.WHEN CVB.PURP CVB.UNTIL  classes: I II III PL
#
#   [?reason] inside gloss = low-confidence choice; review before use as training signal.
#
ru,av,gloss
"Тебе нужно как можно скорее добраться домой.",,
"Я вышел выпить пива с друзьями.",,
"Лишь немногие из нас умеют говорить по-французски.",,
"Том понятия не имел, что он там обнаружит.",,
"Том сказал мне, что раньше был женат на Мэри.",,
"Мне интересно, чем Том занимается по жизни.",,
"Жаль, что я не поехал в Бостон с Томом.",,
"Жаль, что мы не сказали Тому тоже прийти.",,
"Вы уверены, что Том позволит нам это сделать?",,
"Я уверен, что Том сможет нам помочь.",,
"Я уверен, что Том отлично справится с работой.",,
"Мне кажется, я знаю, где Том спрятал свой ключ.",,
"Том понимал, что должен помочь Мэри в этом.",,
"Вы уверены, что Том это сделает?",,
"Вы уверены, что это сделал Том?",,
"Думаю, нам следует попросить Тома сделать это.",,
"Думаю, нам нужно поехать в Бостон.",,
"Я была так уверена, что это именно то, чего я хотела.",,
"Я знаю место, где мы можем раздобыть немного денег.",,
"Что именно вы хотите, чтобы мы сделали?",,
"Что именно вы от меня хотите?",,
"Я даже не уверен, что хочу вам помочь.",,
"Я сказала, что не хочу об этом говорить.",,
"Полагаю, сейчас уже слишком поздно это делать.",,
"Как вы думаете, смогу ли я получить свои деньги обратно?",,
"Я никогда не говорил, что это будет легко.",,
"Я не говорил, что это будет легко.",,
"Как бы мне хотелось знать, что я ищу.",,
"Думаю, нам пора отсюда убираться.",,
"Думаю, пора отсюда убираться.",,
"Полагаю, я мог бы выяснить, кто он.",,
"Мэри готова разговаривать только с Томом.",,
"Я думаю, что делать это уже слишком поздно.",,
"Я уверен, что это будет непросто.",,
"Я уверен, что это не составит труда.",,
"Надеюсь, мне больше никогда не придётся этого делать.",,
"Надеюсь, у меня будет достаточно времени, чтобы это сделать.",,
"Думаю, нас ждёт напряжённая неделя.",,
"У меня есть лишняя ручка, которую я мог бы вам одолжить.",,
"Как вы думаете, это Том это сделал?",,
"Как думаешь, Том позволит мне это сделать?",,
"Думаю, вы могли бы попросить Тома это сделать.",,
"Как вы думаете, почему вам необходимо это сделать?",,
"Почему вы решили, что вам нужно это сделать?",,
"Думаю, вы понимаете, почему я не могу этого сделать.",,
"Я не думаю, что смогу сделать это прямо сейчас.",,
"Думаю, мне придётся это сделать ради Тома.",,
"Я так рада, что нам удалось с вами познакомиться.",,
"Я солгал, когда сказал, что не знаю Тома.",,
"Я уверен, что мы найдем способ это сделать.",,
"Я так рада быть здесь со всеми вами.",,
"Том понятия не имел, что Мэри будет здесь.",,
"Я понятия не имела, что Тома здесь не будет.",,
"Подскажите, пожалуйста, как добраться до автобусной остановки.",,
"Я чищу зубы два или три раза в день.",,
"Том и Мэри выращивают большую часть продуктов питания самостоятельно.",,
"Я хотел доказать себе, что смогу это сделать.",,
"Я отказываюсь терпеть от вас рабское обращение.",,
"Я бы хотела пойти с тобой на концерт.",,
"В студенческие годы я играл в теннис.",,
"Нам требуется полчаса, чтобы дойти до школы пешком.",,
"Мы попытались его подбодрить, выведя его на прогулку.",,
"Надеюсь, мне удастся свести концы с концами.",,
"Перед моим домом росло высокое дерево.",,
"Сплошная работа без отдыха делает Джа скучным парнем.",,
"Я хотел бы попросить вас об одной услуге.",,
"Надеюсь, вы сможете мне чем-нибудь помочь.",,
"Похоже, скоро всё прояснится.",,
"Детеныш оленя может встать на ноги сразу после рождения.",,
"Никогда в жизни я ничего подобного не слышал.",,
"В это время года здесь бывает холодно.",,
"Было глупо с моей стороны совершить такую ​​ошибку.",,
"Было глупо с вашей стороны допустить такую ​​ошибку.",,
"Жаль, что ты рассказал ему об этом плане.",,
"По его акценту я могу сказать, что он немец.",,
"В октябре у нас много очень хороших дней.",,
"В итоге я решил не идти в кино.",,
"Тебе нужно идти, даже если тебе этого не хочется.",,
"Все мы хотим прожить как можно дольше.",,
"Мой дядя время от времени навещает меня.",,
"Я не знаю, смогу ли я туда поехать или нет.",,
"По дороге на вокзал я встретил своего учителя.",,
"Я всегда чищу зубы перед сном.",,
"Я хочу, чтобы в моей комнате было как можно больше порядка.",,
"Было бы здорово, если бы вы мне немного помогли.",,
"Я нашла редкую книгу, которую так долго искала.",,
"В центре города вспыхнул пожар.",,
"Можно ли проверить, неисправен ли телефон?",,
"Он уже почти заснул.",,
"Он пообещал сводить меня в кино.",,
"На следующей неделе он собирается купить новый велосипед.",,
"Он бежал так быстро, как только могли нести его ноги.",,
"Он давно им не писал.",,
"Вы знаете, почему она так злится?",,
"Мне пришлось схватить её, чтобы она не упала.",,
"Я уверена, что она к вам не придет.",,
"Отец велел мне не читать книги в постели.",,
"На вашем месте я бы на эту лошадь не стал ставить.",,
"Ты уже решил пойти со мной?",,
"Моя сестра попросила меня научить её кататься на лыжах.",,
"Я пошёл на вокзал проводить друга.",,
"Он так разозлился, что забыл поужинать.",,
"Откуда ей удалось так много узнать о рыбах?",,
"Мэри мне понравилась, как только я её встретил.",,
"Мне нужно кое-что ему сказать.",,
"Я не чувствую, что могу доверять тому, что он говорит.",,
"Мне нужно кое-что вам сказать.",,
"Постарайтесь сделать это как можно лучше.",,
"На небе не было видно ни одной звезды.",,
"Мы с отцом иногда ходим на рыбалку.",,
"Могу ли я уговорить вас остаться еще на несколько дней?",,
"Мой папа теряет ключи как минимум раз в неделю.",,
"Я дам экземпляр любому, кто попросит.",,
